"URLLength","DomainLength","TLDEncoding","NoOfLettersInURL","NoOfDegitsInURL","NoOfSpecialCharsInURL","IsHTTPS","LineOfCode","LargestLineLength","HasTitle","NoOfReference","DomainTitleMatchScore","URLTitleMatchScore","HasFavicon","Robots","IsResponsive","NoOfExternalFiles","HasDescription","HasSocialNet","HasCopyrightInfo","label"
462,14,0,298,87,54,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
379,14,0,227,81,48,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
285,14,0,171,54,37,1,11,564,1,1,0,0,0,0,0,0,0,0,0,0
437,14,0,152,264,14,0,242,446,1,1,0,0,0,0,1,5,0,0,0,0
22,14,0,0,11,4,0,17,234,1,2,0,0,0,0,0,0,0,0,0,0
221,11,0,145,29,24,1,11,493,1,1,0,0,0,0,0,0,0,0,0,0
318,11,0,201,58,36,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
397,13,0,245,88,57,0,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
21,13,0,0,10,4,0,11,257,1,1,0,0,0,0,0,0,0,0,0,0
473,13,0,307,100,59,1,125,52977,1,7,0,0,0,0,1,1,1,0,1,0
21,14,0,0,11,3,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0
224,12,0,152,26,23,1,11,492,1,1,0,0,0,0,0,0,0,0,0,0
20,12,0,0,9,4,0,58,138,1,0,0,0,1,0,1,9,0,0,0,0
265,12,0,167,47,28,1,2,274,0,0,0,0.425531915,0,0,0,0,0,0,0,0
23,15,0,0,12,4,0,35,126,1,0,0,0,0,1,1,1,0,0,0,0
20,13,0,0,10,3,0,31,115,1,0,0,0,0,0,0,0,0,0,0,0
75,10,0,22,38,8,0,441,1964,1,17,0,0,0,0,1,8,1,0,0,0
27,14,0,5,11,4,0,19,190,1,1,0,0,1,1,1,2,0,0,0,0
255,14,0,166,36,30,1,11,558,1,1,0,0,0,0,0,0,0,0,0,0
46,13,0,22,10,7,0,226,780,1,11,0,0,1,0,1,8,1,0,1,0
47,13,0,22,11,7,0,226,780,1,11,0,0,1,0,1,8,1,0,1,0
472,14,0,305,103,57,1,125,52930,1,7,0,0,0,0,1,1,1,0,1,0
253,14,0,157,39,34,1,11,555,1,1,0,0,0,0,0,0,0,0,0,0
23,15,0,0,12,4,0,27,53356,1,13,0,0,0,1,0,16,0,1,1,0
169,14,0,96,38,28,0,474,780,1,0,0,0,0,0,1,13,0,0,1,0
403,13,0,239,85,56,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
254,13,0,158,41,32,1,11,557,1,1,0,0,0,0,0,0,0,0,0,0
21,13,0,0,10,4,0,41,112,1,0,0,0,0,0,0,0,0,0,0,0
190,14,0,95,40,32,1,2,198,0,0,0,0.625,0,0,0,0,0,0,0,0
49,14,0,22,11,9,0,347,183,1,0,0,0,1,0,1,8,0,0,0,0
43,14,0,17,11,8,0,9,52,1,0,0,0,0,0,0,1,0,0,0,0
404,13,0,240,86,55,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
465,13,0,299,89,54,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
