URLLength,DomainLength,TLDEncoding,NoOfLettersInURL,NoOfDigitsInURL,NoOfSpecialCharsInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,NoOfReference,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfExternalFiles,HasDescription,HasSocialNet,HasCopyrightInfo,label
45,25,0.32,30,4,5,0,300,2000,0,5,10.5,25.4,0,0,0,20,0,0,0,0
60,30,0.20,35,5,4,0,210,1800,0,2,0,0,0,0,0,10,0,0,0,0
28,18,0.40,12,2,1,0,100,1500,1,8,15.0,22.0,0,0,0,5,0,0,0,0
75,40,0.10,45,10,6,0,400,3000,0,0,0,0,0,0,0,0,0,0,0,0
90,50,0.25,40,6,2,0,150,2500,1,3,5.5,10.2,0,0,0,12,0,0,0,0
55,35,0.35,28,4,3,0,320,2200,0,4,20.0,35.7,0,0,1,10,0,0,0,0
42,22,0.30,20,2,2,0,250,1000,0,2,0,0,0,0,0,8,0,0,0,0
100,60,0.15,50,8,8,0,500,4500,0,10,25.4,30.1,0,0,0,15,0,0,0,0
39,27,0.38,15,3,2,1,80,900,0,1,10.0,12.0,0,0,0,5,0,0,0,0
62,33,0.27,32,5,5,0,90,2000,0,0,0,0,0,0,0,2,0,0,0,0
44,24,0.22,18,1,3,0,120,950,0,3,12.0,18.6,0,0,0,7,0,0,0,0
70,40,0.18,33,7,2,0,210,1850,1,1,2.0,3.0,0,0,0,0,0,0,0,0
95,55,0.12,48,9,9,0,490,4000,0,9,10.0,28.9,0,0,0,16,0,0,0,0
53,30,0.25,25,4,4,0,160,2200,0,2,0,0,0,0,0,3,0,0,0,0
80,45,0.34,36,5,6,0,360,3500,0,3,15.0,20.0,0,0,0,10,0,0,0,0
47,28,0.29,21,3,2,0,140,1400,0,4,14.0,27.0,0,0,0,8,0,0,0,0
66,35,0.09,38,6,3,0,200,1900,0,2,0,0,0,0,0,4,0,0,0,0
88,48,0.11,45,8,7,0,410,3800,0,6,18.5,35.0,0,0,0,12,0,0,0,0
41,23,0.33,16,2,2,1,100,1200,1,4,20.0,30.0,0,0,0,8,0,0,0,0
72,40,0.28,37,6,5,0,330,2800,0,3,10.0,12.5,0,0,0,9,0,0,0,0
57,29,0.23,29,4,4,0,180,1600,0,2,5.0,0,0,0,0,3,0,0,0,0
64,36,0.21,34,5,3,0,200,2000,1,1,0,0,0,0,0,0,0,0,0,0
101,61,0.19,49,10,7,0,450,4200,0,4,10.0,5.4,0,0,0,5,0,0,0,0
52,31,0.31,26,3,2,0,150,1500,0,2,14.0,20.5,0,0,0,3,0,0,0,0
76,42,0.37,38,7,4,0,300,3200,0,5,25.0,30.0,0,0,1,14,0,0,0,0
81,50,0.26,40,6,6,0,270,3400,0,3,8.0,10.0,0,0,0,6,0,0,0,0
43,22,0.24,19,3,2,0,100,1100,0,2,5.0,15.0,0,0,0,2,0,0,0,0
69,38,0.10,35,5,5,0,360,2100,0,4,12.0,18.0,0,0,0,10,0,0,0,0
91,49,0.16,42,8,6,0,400,3300,1,6,17.0,25.0,0,0,0,9,0,0,0,0
46,26,0.36,22,2,3,0,130,1300,0,2,10.0,12.0,0,0,0,4,0,0,0,0
78,44,0.13,41,7,4,0,280,2500,0,3,0,0,0,0,0,8,0,0,0,0
58,30,0.25,25,4,2,0,190,1800,1,5,22.0,35.0,0,0,0,11,0,0,0,0
83,51,0.05,46,9,9,0,420,3900,0,7,15.0,18.0,0,0,0,15,0,0,0,0
49,27,0.34,23,3,2,0,170,1300,0,2,10.5,12.0,0,0,0,6,0,0,0,0
65,39,0.28,34,6,5,0,300,2000,0,3,5.0,5.0,0,0,0,7,0,0,0,0
89,48,0.17,44,8,8,0,500,3700,0,4,14.0,16.0,0,0,0,10,0,0,0,0
54,28,0.29,28,4,4,0,160,1500,1,2,8.0,0,0,0,0,3,0,0,0,0
67,37,0.22,35,5,6,0,220,1900,0,5,18.0,22.5,0,0,0,12,0,0,0,0
